dataset_label,seed,sampling_strategy,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,attack_effectiveness_percent,backdoored_clean_accuracy_percent,clean_model_original_test_accuracy_percent,detector_metadata_path,source_mtime
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,1305,44979,46284,0.6274038461538461,62.74038461538461,0.4413167189952904,44.13167189952904,2.819548872180451,44.503846153846155,99.04213910983246,98.80013538669826,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789643482.0121875
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,2080,0,2080,1.0,100.0,0.0,0.0,100.0,2.0,99.04213910983246,98.80013538669826,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643103.6376605
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,1422,658,2080,0.6836538461538462,68.36538461538461,0.006456043956043956,0.6456043956043955,68.36538461538461,2.0,99.04213910983246,98.80013538669826,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789643106.4257114
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,1040,42090,43130,0.5,50.0,0.41297095761381475,41.29709576138148,2.411314630187804,41.47115384615385,81.28109663225588,98.8085970553393,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789643402.8810828
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,0,2080,2080,0.0,0.0,0.02040816326530612,2.0408163265306123,0.0,2.0,81.28109663225588,98.8085970553393,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789642973.2502155
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,0,2080,2080,0.0,0.0,0.02040816326530612,2.0408163265306123,0.0,2.0,81.28109663225588,98.8085970553393,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789642977.3256083
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,801,42121,42922,0.38509615384615387,38.50961538461539,0.41327511773940345,41.327511773940344,1.86617585387447,41.271153846153844,84.72499576916567,98.74259603993907,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789643158.0417082
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,47,2033,2080,0.022596153846153846,2.2596153846153846,0.01994701726844584,1.994701726844584,2.2596153846153846,2.0,84.72499576916567,98.74259603993907,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789642737.8903904
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,180,1900,2080,0.08653846153846154,8.653846153846153,0.018642072213500786,1.8642072213500787,8.653846153846153,2.0,84.72499576916567,98.74259603993907,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789642740.2197535
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,843,41854,42697,0.40528846153846154,40.52884615384615,0.4106554160125589,41.06554160125589,1.9743775909314472,41.05480769230769,99.26045016077173,98.79505838551364,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789643600.6017828
