selector,source,sanitizer,seeds,asr_mean_percent,asr_sd_percent,poison_recall_mean_percent,poison_recall_sd_percent,removed_poisoned_mean,removed_clean_mean
CountAbsSHAP*,Severi-derived,HDBSCAN,2,80.7196265716617,18.006188932300862,62.66666666666667,9.428090415820638,752.0,24780.0
BenignPrototype,This work,HDBSCAN,2,7.928283863947803,1.3691739397012623,44.41666666666667,5.185449728701353,533.0,26134.5
CombinedSHAP*,Severi-derived,HDBSCAN,2,41.708924451837106,5.152006955516099,47.458333333333336,0.6481812160876719,569.5,25842.5
CorrCountAbsSHAP,This work,HDBSCAN,2,47.81775760453972,9.810326559919377,14.916666666666668,16.617009357883866,179.0,25220.0
FrequencyBoundedSignedSHAP,This work,HDBSCAN,2,67.7395045647463,0.7388112437789802,2.0416666666666665,2.8873526898450685,24.5,25568.0
LowSHAPSigned,This work,HDBSCAN,2,65.85259758556728,1.1434578142146021,19.458333333333332,20.565022219508755,233.5,26892.0
MinPopulation*,Severi-derived,HDBSCAN,2,81.87809472749927,16.351760005206955,66.125,8.662058069535208,793.5,24348.5
Quantile95,This work,HDBSCAN,2,58.7952041063147,2.6749774971954277,29.0,2.2391714737574024,348.0,23615.5
CountAbsSHAP*,Severi-derived,Isolation Forest,2,80.7196265716617,18.006188932300862,99.75,0.3535533905932738,1197.0,3.0
BenignPrototype,This work,Isolation Forest,2,7.928283863947803,1.3691739397012623,0.0833333333333333,0.0,1.0,1199.0
CombinedSHAP*,Severi-derived,Isolation Forest,2,41.708924451837106,5.152006955516099,0.04166666666666665,0.05892556509887894,0.5,1199.5
CorrCountAbsSHAP,This work,Isolation Forest,2,47.81775760453972,9.810326559919377,5.875,7.36569563735987,70.5,1129.5
FrequencyBoundedSignedSHAP,This work,Isolation Forest,2,67.7395045647463,0.7388112437789802,72.04166666666666,8.779909199732964,864.5,335.5
LowSHAPSigned,This work,Isolation Forest,2,65.85259758556728,1.1434578142146021,96.70833333333333,3.1230549502405784,1160.5,39.5
MinPopulation*,Severi-derived,Isolation Forest,2,81.87809472749927,16.351760005206955,99.625,0.5303300858899106,1195.5,4.0
Quantile95,This work,Isolation Forest,2,58.7952041063147,2.6749774971954277,28.125,7.8371001581509,337.5,862.5
CountAbsSHAP*,Severi-derived,Spectral Signature,2,80.7196265716617,18.006188932300862,0.04166666666666665,0.05892556509887894,0.5,1199.5
BenignPrototype,This work,Spectral Signature,2,7.928283863947803,1.3691739397012623,0.375,0.1767766952966369,4.5,1195.5
CombinedSHAP*,Severi-derived,Spectral Signature,2,41.708924451837106,5.152006955516099,0.875,0.058925565098878904,10.5,1189.5
CorrCountAbsSHAP,This work,Spectral Signature,2,47.81775760453972,9.810326559919377,0.7083333333333334,0.6481812160876687,8.5,1191.5
FrequencyBoundedSignedSHAP,This work,Spectral Signature,2,67.7395045647463,0.7388112437789802,0.5416666666666669,0.7660323462854267,6.5,1193.5
LowSHAPSigned,This work,Spectral Signature,2,65.85259758556728,1.1434578142146021,1.25,1.7677669529663689,15.0,1185.0
MinPopulation*,Severi-derived,Spectral Signature,2,81.87809472749927,16.351760005206955,0.0,0.0,0.0,1200.0
Quantile95,This work,Spectral Signature,2,58.7952041063147,2.6749774971954277,0.4583333333333333,0.6481812160876685,5.5,1194.5
