dataset_label,seed,sampling_strategy,poison_rate_train,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,detector_metadata_path,source_mtime,asr_percent,backdoored_clean_accuracy_percent
EMBER2018,42,random,0.01,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,672,25225,25897,0.56,56.00000000000001,0.4289965986394558,42.89965986394558,2.59489516160173,43.16166666666666,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636047.7066362,67.9873282743056,99.58692658888324
EMBER2018,42,random,0.01,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,577,27164,27741,0.4808333333333333,48.083333333333336,0.4619727891156462,46.197278911564624,2.079953858909196,46.235,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636073.866904,6.960131686561138,99.72772354104336
EMBER2018,42,random,0.01,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,564,25794,26358,0.47,47.0,0.4386734693877551,43.86734693877551,2.139767812428864,43.93,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636120.1367505,38.06590539687141,99.73289989957864
EMBER2018,42,random,0.01,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,38,24426,24464,0.0316666666666666,3.166666666666667,0.4154081632653061,41.54081632653061,0.1553302812295618,40.77333333333333,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636085.8563623,40.88080916836624,99.70391229178098
EMBER2018,42,random,0.01,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,0,25345,25345,0.0,0.0,0.4310374149659864,43.10374149659864,0.0,42.24166666666667,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636249.2651594,67.21708612425331,99.70494756348803
EMBER2018,42,random,0.01,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,59,28770,28829,0.0491666666666666,4.916666666666666,0.4892857142857142,48.92857142857142,0.2046550348607305,48.04833333333333,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636158.8275726,65.04405081113538,99.75257006201278
EMBER2018,42,random,0.01,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,720,27213,27933,0.6,60.0,0.4628061224489796,46.28061224489796,2.577596391365052,46.555,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636258.0710733,70.31565434348245,99.70391229178098
EMBER2018,42,random,0.01,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,329,20422,20751,0.2741666666666666,27.416666666666668,0.347312925170068,34.7312925170068,1.585465760686232,34.585,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636263.006957,56.90370937852639,99.69666538983157
EMBER2018,42,random,0.01,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,1200,0,1200,1.0,100.0,0.0,0.0,100.0,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789607013.6302743,67.9873282743056,99.58692658888324
EMBER2018,42,random,0.01,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,60000,32,1200,58800,1,1199,1200,0.0008333333333333,0.0833333333333333,0.020391156462585,2.0391156462585034,0.0833333333333333,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789609158.1475606,6.960131686561138,99.72772354104336
