dataset,sampling,selector,source,seeds,asr_mean,asr_std,original_clean_mean,original_clean_std,backdoored_clean_mean,backdoored_clean_std,clean_delta_mean,clean_delta_std,original_wm_malware_accuracy_mean,backdoored_wm_malware_accuracy_mean
EMBER2018,Random,MinPopulation*,Severi-derived,3,86.30447383605963,13.87330255101653,100.0,0.0,99.71458003808164,0.029937145570321157,-0.2854199619183741,0.029937145570321257,99.78534005572142,13.4808662196618
EMBER2018,Random,CountAbsSHAP*,Severi-derived,3,84.60060798058457,14.397828656504826,100.0,0.0,99.6659207635405,0.07003942590688834,-0.3340792364595065,0.0700394259068831,99.6210538690987,15.020445888514155
EMBER2018,Random,CombinedSHAP*,Severi-derived,3,42.76396241192742,4.075647571434231,100.0,0.0,99.7308004311163,0.004524546668436547,-0.26919956888369256,0.004524546668438196,95.20411407991328,52.44015166798588
EMBER2018,Random,FrequencyBoundedSignedSHAP,This work,3,73.82177352336825,10.547744217699613,100.0,0.0,99.7128543458471,0.007021734679776285,-0.2871456541529085,0.007021734679776285,98.19915689557165,24.3773833722034
EMBER2018,Random,CorrCountAbsSHAP,This work,3,49.67225168293095,7.644520813399235,100.0,0.0,99.71492527516642,0.009760065333468251,-0.2850747248335826,0.009760065333468874,98.00679998726683,48.334548304335875
EMBER2018,Random,BenignPrototype,This work,3,8.128504514383941,1.0283888200295401,100.0,0.0,99.730110432214,0.0021306176412970966,-0.2698895677859999,0.0021306176412985165,97.01360634172873,88.8923489972827
EMBER2018,Random,Quantile95,This work,3,58.09502212034994,2.2468904614287744,100.0,0.0,99.71527071232028,0.034078832151293995,-0.28472928767972405,0.03407883215129593,99.7277004617003,41.63267834135035
EMBER2018,Random,LowSHAPSigned,This work,3,68.26916220232789,4.262992086244398,100.0,0.0,99.70249733377756,0.05077105786533267,-0.297502666222447,0.050771057865327374,77.68633787017107,9.417175667843178
EMBER2018,Distribution-based,MinPopulation*,Severi-derived,3,99.64901487031632,0.16412007808040263,100.0,0.0,99.76117133478614,0.008323478685976904,-0.23882866521385893,0.008323478685976904,99.78534005572142,0.13632518540509542
EMBER2018,Distribution-based,CountAbsSHAP*,Severi-derived,3,99.580675746284,0.16188066980042357,100.0,0.0,99.8229493464275,0.024483747857182905,-0.17705065357248864,0.02448374785718479,99.6210538690987,0.04037812281469907
EMBER2018,Distribution-based,CombinedSHAP*,Severi-derived,3,92.0727737281947,0.5579467629399915,100.0,0.0,99.79188799362227,0.03727684552609632,-0.20811200637773197,0.03727684552609633,95.20411407991328,3.131340351718595
EMBER2018,Distribution-based,FrequencyBoundedSignedSHAP,This work,3,98.08561086781054,0.539900034592,100.0,0.0,99.75081445851106,0.05655370135378424,-0.2491855414889462,0.05655370135378303,98.19915689557165,0.11354602776110723
EMBER2018,Distribution-based,CorrCountAbsSHAP,This work,3,97.70345775185905,2.989648494071099,100.0,0.0,99.77083454962882,0.012883236791826212,-0.22916545037119343,0.012883236791819921,98.00679998726683,0.3033422354077639
