dataset,seed,sampling,selector,asr_percent,original_clean_accuracy_percent,backdoored_clean_accuracy_percent,clean_accuracy_delta_pp,original_watermarked_malware_accuracy_percent,backdoored_watermarked_malware_accuracy_percent,poison_rows,watermark_size
EMBER2018,42,Distribution-based,BenignPrototype,82.85486525938732,100.0,99.7722402244469,-0.22775977555309623,97.12090938266748,14.266044123280157,1200,17
EMBER2018,43,Distribution-based,BenignPrototype,79.80388908447058,100.0,99.38081136490712,-0.6191886350928826,96.88645447203297,17.082565387562383,1200,17
EMBER2018,44,Distribution-based,BenignPrototype,82.79300454559574,100.0,99.7784151506052,-0.2215848493948016,97.03345517048572,14.240450624889982,1200,17
EMBER2018,42,Distribution-based,CombinedSHAP*,91.90624579420869,100.0,99.79191038688104,-0.20808961311895757,95.07831830463904,3.172072510430363,1200,17
EMBER2018,43,Distribution-based,CombinedSHAP*,92.69502371140426,100.0,99.82915363747438,-0.1708463625256229,95.57041976433555,2.8753960529313094,1200,17
EMBER2018,44,Distribution-based,CombinedSHAP*,91.61705167897118,100.0,99.75459995651138,-0.24540004348861544,94.9636041707653,3.346552491794112,1200,17
EMBER2018,42,Distribution-based,CorrCountAbsSHAP,99.07550236559584,100.0,99.78569875663868,-0.2143012433613194,99.8467797873552,0.7712774217593408,1200,17
EMBER2018,43,Distribution-based,CorrCountAbsSHAP,94.2740582741411,100.0,99.76392138996458,-0.2360786100354204,94.28441259914268,0.0103543250015531,1200,17
EMBER2018,44,Distribution-based,CorrCountAbsSHAP,99.7608126158402,100.0,99.76288350228316,-0.2371164977168405,99.8892075753026,0.1283949594623978,1200,17
EMBER2018,42,Distribution-based,CountAbsSHAP*,99.46683507086436,100.0,99.826074353214,-0.17392564678600309,99.53930409035851,0.0724690194941662,1200,17
EMBER2018,43,Distribution-based,CountAbsSHAP*,99.7659922549649,100.0,99.84572055747684,-0.15427944252316195,99.81258671747187,0.0465944625069891,1200,17
EMBER2018,44,Distribution-based,CountAbsSHAP*,99.50919991302275,100.0,99.7970531285917,-0.20294687140830092,99.5112707994657,0.0020708864429419,1200,17
EMBER2018,42,Distribution-based,FrequencyBoundedSignedSHAP,97.46461958941124,100.0,99.8157216361434,-0.18427836385660612,97.59402855279367,0.1294089633824397,1200,17
EMBER2018,43,Distribution-based,FrequencyBoundedSignedSHAP,98.44374495226656,100.0,99.72457495495868,-0.2754250450413167,98.56903228478537,0.1252873325187931,1200,17
EMBER2018,44,Distribution-based,FrequencyBoundedSignedSHAP,98.34846806175383,100.0,99.71214678443108,-0.28785321556891574,98.43440984913592,0.0859417873820889,1200,17
EMBER2018,42,Distribution-based,LowSHAPSigned,80.50583375606928,100.0,99.78052239810336,-0.21947760189664223,80.59590239458346,0.090068638514178,1200,17
EMBER2018,43,Distribution-based,LowSHAPSigned,70.09567396301435,100.0,99.8239764749736,-0.17602352502639462,70.10809915301621,0.0124251900018637,1200,17
EMBER2018,44,Distribution-based,LowSHAPSigned,82.33740952814853,100.0,99.7577062861758,-0.2422937138241963,82.35501206291353,0.0176025347650061,1200,17
EMBER2018,42,Distribution-based,MinPopulation*,99.47511724452085,100.0,99.76913440932572,-0.23086559067428425,99.60659675131738,0.1314795067965587,1200,17
EMBER2018,43,Distribution-based,MinPopulation*,99.6707324649506,100.0,99.76185052496427,-0.23814947503572625,99.93476775249022,0.2640352875396052,1200,17
EMBER2018,44,Distribution-based,MinPopulation*,99.80119490147756,100.0,99.75252907006843,-0.24747092993156627,99.8146556633567,0.0134607618791223,1200,17
EMBER2018,42,Distribution-based,Quantile95,99.43060056111726,100.0,99.790875115174,-0.20912488482599656,99.6086672947315,0.178066733614237,1200,17
EMBER2018,43,Distribution-based,Quantile95,99.69661827745448,100.0,99.80119695997018,-0.19880304002981575,99.87885439748185,0.1822361200273354,1200,17
EMBER2018,44,Distribution-based,Quantile95,99.6541619640287,100.0,99.78876958281992,-0.21123041718007585,99.69557969288752,0.041417728858838,1200,17
EMBER2018,42,Random,BenignPrototype,6.960131686561138,100.0,99.72772354104336,-0.27227645895663954,97.12090938266748,90.1773420434193,1200,17
EMBER2018,43,Random,BenignPrototype,8.896436041334466,100.0,99.73078754995962,-0.26921245004038497,96.88645447203297,87.99519559319928,1200,17
