value_selector,selector,source,defense_method,sanitizer,poison_recall_percent_count,poison_recall_percent_mean,poison_recall_percent_std,poison_recall_percent_min,poison_recall_percent_max,removed_poisoned_rows_count,removed_poisoned_rows_mean,removed_poisoned_rows_std,removed_poisoned_rows_min,removed_poisoned_rows_max,removed_clean_rows_count,removed_clean_rows_mean,removed_clean_rows_std,removed_clean_rows_min,removed_clean_rows_max,removed_rows_count,removed_rows_mean,removed_rows_std,removed_rows_min,removed_rows_max,clean_false_positive_rate_percent_count,clean_false_positive_rate_percent_mean,clean_false_positive_rate_percent_std,clean_false_positive_rate_percent_min,clean_false_positive_rate_percent_max,poison_removal_precision_percent_count,poison_removal_precision_percent_mean,poison_removal_precision_percent_std,poison_removal_precision_percent_min,poison_removal_precision_percent_max
argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,hdbscan,HDBSCAN,2,62.66666666666667,9.428090415820638,56.00000000000001,69.33333333333334,2,752.0,113.1370849898476,672,832,2,24780.0,629.3250352560273,24335,25225,2,25532.0,516.1879502661797,25167,25897,2,42.142857142857146,1.0702806722041258,41.38605442176871,42.89965986394558,2,2.9504058197645873,0.5027679943420981,2.59489516160173,3.3059164779274446
benign_prototype,BenignPrototype,This work,hdbscan,HDBSCAN,2,44.41666666666667,5.185449728701353,40.75,48.083333333333336,2,533.0,62.22539674441618,489,577,2,26134.5,1455.9328624631014,25105,27164,2,26667.5,1518.1582592075176,25594,27741,2,44.44642857142857,2.476076296705947,42.69557823129252,46.197278911564624,2,1.9952789533664523,0.1197483998112087,1.9106040478237087,2.079953858909196
combined_shap,CombinedSHAP*,Severi-derived,hdbscan,HDBSCAN,2,47.458333333333336,0.6481812160876719,47.0,47.91666666666667,2,569.5,7.7781745930520225,564,575,2,25842.5,68.58935777509511,25794,25891,2,26412.0,76.36753236814714,26358,26466,2,43.949829931972786,0.1166485676447206,43.86734693877551,44.03231292517007,2,2.1561833092220644,0.0232150181980362,2.139767812428864,2.172598806015265
corr_count_abs_shap,CorrCountAbsSHAP,This work,hdbscan,HDBSCAN,2,14.916666666666668,16.617009357883866,3.166666666666667,26.666666666666668,2,179.0,199.4041122946064,38,320,2,25220.0,1122.8855685242374,24426,26014,2,25399.0,1322.289680818844,24464,26334,2,42.89115646258503,1.9096693342248992,41.54081632653061,44.24149659863946,2,0.6852446955627569,0.7494121516470001,0.1553302812295618,1.215159109895952
frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,hdbscan,HDBSCAN,2,2.0416666666666665,2.8873526898450685,0.0,4.083333333333333,2,24.5,34.64823227814083,0,49,2,25568.0,315.3696244092002,25345,25791,2,25592.5,350.017856687341,25345,25840,2,43.482993197278915,0.536342898655101,43.10374149659864,43.86224489795919,2,0.0948142414860681,0.1340875862157153,0.0,0.1896284829721362
low_shap_signed,LowSHAPSigned,This work,hdbscan,HDBSCAN,2,19.458333333333332,20.565022219508755,4.916666666666666,34.0,2,233.5,246.7802666341051,59,408,2,26892.0,2655.8930701366726,25014,28770,2,27125.5,2409.112803502567,25422,28829,2,45.73469387755102,4.516824949212026,42.54081632653061,48.92857142857142,2,0.9047820843409152,0.990129168759136,0.2046550348607305,1.6049091338211
min_population_new,MinPopulation*,Severi-derived,hdbscan,HDBSCAN,2,66.125,8.662058069535208,60.0,72.25,2,793.5,103.94469683442249,720,867,2,24348.5,4051.014749417731,21484,27213,2,25142.0,3947.070052583308,22351,27933,2,41.409013605442176,6.889480866356686,36.53741496598639,46.28061224489796,2,3.228308732123849,0.9202462175046328,2.577596391365052,3.879021072882645
quantile_95,Quantile95,This work,hdbscan,HDBSCAN,2,29.0,2.2391714737574024,27.416666666666668,30.583333333333336,2,348.0,26.87005768508881,329,367,2,23615.5,4516.2910114384795,20422,26809,2,23963.5,4543.161069123568,20751,27176,2,40.16241496598639,7.680767026255919,34.7312925170068,45.593537414965986,2,1.4679610228217737,0.1661767939310124,1.3504562849573152,1.585465760686232
argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,isolation_forest,Isolation Forest,2,99.75,0.3535533905932738,99.5,100.0,2,1197.0,4.242640687119285,1194,1200,2,3.0,4.242640687119285,0,6,2,1200.0,0.0,1200,1200,2,0.0051020408163265,0.00721537531823,0.0,0.010204081632653,2,99.75,0.3535533905932738,99.5,100.0
benign_prototype,BenignPrototype,This work,isolation_forest,Isolation Forest,2,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,2,1.0,0.0,1,1,2,1199.0,0.0,1199,1199,2,1200.0,0.0,1200,1200,2,2.0391156462585034,0.0,2.0391156462585034,2.0391156462585034,2,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333
