selector,source,sanitizer,seeds,poison_recall_mean_percent,poison_recall_sd_percent,removed_poisoned_rows_mean,removed_clean_rows_mean,clean_false_positive_rate_percent_mean
CountAbsSHAP*,Severi-derived,HDBSCAN,2,62.66666666666667,9.428090415820638,752.0,24780.0,42.142857142857146
BenignPrototype,This work,HDBSCAN,2,44.41666666666667,5.185449728701353,533.0,26134.5,44.44642857142857
CombinedSHAP*,Severi-derived,HDBSCAN,2,47.458333333333336,0.6481812160876719,569.5,25842.5,43.949829931972786
CorrCountAbsSHAP,This work,HDBSCAN,2,14.916666666666668,16.617009357883866,179.0,25220.0,42.89115646258503
FrequencyBoundedSignedSHAP,This work,HDBSCAN,2,2.0416666666666665,2.8873526898450685,24.5,25568.0,43.482993197278915
LowSHAPSigned,This work,HDBSCAN,2,19.458333333333332,20.565022219508755,233.5,26892.0,45.73469387755102
MinPopulation*,Severi-derived,HDBSCAN,2,66.125,8.662058069535208,793.5,24348.5,41.409013605442176
Quantile95,This work,HDBSCAN,2,29.0,2.2391714737574024,348.0,23615.5,40.16241496598639
CountAbsSHAP*,Severi-derived,Isolation Forest,2,99.75,0.3535533905932738,1197.0,3.0,0.0051020408163265
BenignPrototype,This work,Isolation Forest,2,0.0833333333333333,0.0,1.0,1199.0,2.0391156462585034
CombinedSHAP*,Severi-derived,Isolation Forest,2,0.0416666666666666,0.0589255650988789,0.5,1199.5,2.0399659863945576
CorrCountAbsSHAP,This work,Isolation Forest,2,5.875,7.36569563735987,70.5,1129.5,1.9209183673469388
FrequencyBoundedSignedSHAP,This work,Isolation Forest,2,72.04166666666666,8.779909199732964,864.5,335.5,0.5705782312925171
LowSHAPSigned,This work,Isolation Forest,2,96.70833333333331,3.1230549502405784,1160.5,39.5,0.0671768707482993
MinPopulation*,Severi-derived,Isolation Forest,2,99.625,0.5303300858899106,1195.5,4.0,0.0068027210884353
Quantile95,This work,Isolation Forest,2,28.125,7.8371001581509,337.5,862.5,1.4668367346938775
CountAbsSHAP*,Severi-derived,Spectral Signature,2,0.0416666666666666,0.0589255650988789,0.5,1199.5,2.0399659863945576
BenignPrototype,This work,Spectral Signature,2,0.375,0.1767766952966369,4.5,1195.5,2.033163265306123
CombinedSHAP*,Severi-derived,Spectral Signature,2,0.875,0.0589255650988789,10.5,1189.5,2.0229591836734695
CorrCountAbsSHAP,This work,Spectral Signature,2,0.7083333333333334,0.6481812160876687,8.5,1191.5,2.0263605442176873
FrequencyBoundedSignedSHAP,This work,Spectral Signature,2,0.5416666666666667,0.7660323462854266,6.5,1193.5,2.029761904761905
LowSHAPSigned,This work,Spectral Signature,2,1.25,1.7677669529663689,15.0,1185.0,2.0153061224489797
MinPopulation*,Severi-derived,Spectral Signature,2,0.0,0.0,0.0,1200.0,2.0408163265306123
Quantile95,This work,Spectral Signature,2,0.4583333333333333,0.6481812160876685,5.5,1194.5,2.0314625850340136
